name,category
가리비,4
건포도,7
게맛살,4
고구마,2
고등어,4
고추,2
귤,1
그린올리브,1
꼬막,4
노랑파프리카,2
녹색피망,2
느타리버섯,2
단호박,2
달걀,7
닭고기,3
당근,2
대추,1
대파,2
딸기,1
랍스타,4
레몬,1
마,2
마늘,2
무김치,7
문어,4
물미역,4
바게트빵,7
바나나,1
밤,1
밥,7
방울토마토,2
배추김치,7
백도,1
베이글,7
베이컨,3
복숭아,1
브로콜리,2
블루베리,1
비엔나소시지,3
사과,1
산딸기,1
살구,1
새우,4
순대,7
스파게티면,7
슬라이스치즈,5
시금치,2
아몬드,7
아보카도,1
애호박,2
양배추,2
양파,2
오디,1
오미자,1
오이,2
오징어,4
은행,7
인삼,2
잣,7
적양배추,2
전복,4
치커리,2
케일,2
콩나물,2
크랜베리,1
토마토,2
피망,2
할라피뇨,2
호두,7
호박씨,7
훈제연어,4
훈제오리,3
올리고당,6
마요네즈,6
간장,6
고추장,6
된장,6
케찹,6
우유,5
참치통조림,7
햄통조림,7
적파프리카,2
다시마,2
그린올리브,2
흑설탕,7
통깨,7
대하,4
멸치다시물,7
다진돼지고기,3
올리브,2
컬리플라워,2
더덕,2
고춧가루,7
어장,6
석이버섯,2
시금치,2
머스타드,6
다짐육(돼지고기),3
산초가루,7
파인애플,1
검은깨,7
당근,2
달래,2
당근잎,2
피시소스,6
정향,7
배추김치,2
상추잎,2
돈까스소스,6
광어,4
시래기,2
팽이버섯,2
마요네즈,6
꽁치,4
오징어,4
송이버섯,2
자몽,1
체리,1
후루츠칵테일,1
꽃상추,2
양상추,2
오렌지,1
도미,4
새송이버섯,2
매실장아찌,2
흰후추,7
메밀국수,7
칼국수면,7
봄동,2
청양고추,2
프랑크소시지,3
쌈장,6
쇠고기,3
삭힌고추,2
고추,2
식용유,7
후추,7
적양배추,2
사과즙,7
사골,7
송어,4
총각무,2
다진파,2
폰즈소스,6
통계피,2
루콜라,2
토란,2
슈가파우더,7
청장,6
바지락,4
참깨,7
강력분,7
양파,2
녹차국수,7
오렌지마멀레이드,6
트레비소,2
잔멸치,4
취나물,2
홍피망,2
노각,2
도가니,3
어묵,4
상추,2
발효초,6
껍질콩,2
스파게티면,7
배춧잎,2
다진파슬리,2
차조,7
은행,7
영양부추,2
양송이,2
갓,2
숙주,2
굴소스,6
장어뼈,4
넛맥,7
미니파프리카,2
부침유,7
무지개고추,2
명란,4
대구,4
참치,4
마른새우,4
도토리묵,7
핫소스,6
라이스페이퍼,7
마른오징어,4
아구,4
간생강,2
파슬리가루,7
식물성기름,7
국간장,6
노랑파프리카,2
오이,2
소고기,3
액젓,7
녹색피망,2
포도,1
슬라이스치즈,5
쌀,7
호박잎,2
타임,2
우거지,2
파,2
식빵,7
새우젓,7
다진쇠고기,3
파프리카,2
브로콜리,2
이태리파슬리,2
건포도,7
스위트마조람,7
로즈마리,7
부침가루,7
밀가루,7
바베큐소스,6
고등어,4
깨소스,6
흑임자,7
바질,2
통후추,7
그라나빠다노,5
양파즙,7
민트,7
부추,2
육회,3
팔각,7
양배추,2
슬라이스햄,3
아몬드,7
우동면,7
꽃빵,7
초생강,7
녹말가루,7
요리술,7
떡국떡,7
다진마늘,7
아욱,2
우묵,4
비트,2
땅콩가루,7
키위,1
당면,7
깻잎,2
가지,2
육수,7
구운김,4
잉어,4
닭육수,7
기름,7
레몬드레싱,6
문어,4
모듬채소,2
말린표고버섯,2
양겨자,7
미소된장,6
가리비,4
닭고기,3
깨,7
쪽파,2
치즈가루,7
청경채,2
수수,7
고사리,2
꽃게,4
청주,7
간수,7
찹쌀,7
파슬리,7
홍차티백,7
밤,7
목이버섯,2
생강,7
팥,7
마른고추,2
소뼈,3
대추,7
