RECIPE_ID,IRDNT_SN,IRDNT_NM,IRDNT_CPCTY,IRDNT_TY_CODE,IRDNT_TY_NM
1,1,쌀,4컵,3060001,주재료
1,2,안심,200g,3060001,주재료
1,3,콩나물,20g,3060001,주재료
1,4,청포묵,1/2모,3060001,주재료
1,5,미나리,20g,3060001,주재료
1,6,소금,약간,3060003,양념
1,7,국간장,약간,3060003,양념
1,8,다진파,약간,3060003,양념
1,9,다진마늘,약간,3060003,양념
1,10,참기름,약간,3060003,양념
1,11,고추장,1/2큰술,3060002,부재료
1,12,설탕,약간,3060003,양념
1,13,숙주,20g,3060001,주재료
1,14,도라지,20g,3060001,주재료
1,15,고사리,20g,3060001,주재료
1,16,달걀,1개,3060001,주재료
1,17,양지머리,100g,3060002,부재료
2,18,멥쌀,1컵,3060001,주재료
2,19,찹쌀,2컵,3060001,주재료
2,20,수수,1컵,3060002,부재료
2,21,차조,1컵,3060002,부재료
2,22,콩,1/2컵,3060002,부재료
2,23,팥,1/2컵,3060002,부재료
2,24,소금,약간,3060003,양념
3,25,당면,50g,3060001,주재료
3,26,돼지고기,100g,3060001,주재료
3,27,표고버섯,2장,3060001,주재료
3,28,호박,1/4개,3060002,부재료
3,29,당근,1/2개,3060002,부재료
3,30,부추,30g,3060001,주재료
3,31,청고추,약간,3060002,부재료
3,32,홍고추,약간,3060002,부재료
3,33,다진파,2큰술,3060003,양념
3,34,다진마늘,1큰술,3060003,양념
3,35,간장,4큰술,3060003,양념
3,36,참기름,1큰술,3060003,양념
3,38,밥,3공기,3060002,부재료
3,39,통후추,약간,3060003,양념
4,40,쌀,2컵,3060001,주재료
4,41,콩나물,300g,3060001,주재료
4,42,쇠고기,100g,3060001,주재료
4,43,대파,1/2개,3060003,양념
4,44,마늘,2쪽,3060003,양념
4,45,참기름,1큰술,3060003,양념
4,46,깨소금,1큰술,3060003,양념
4,47,고춧가루,조금,3060003,양념
4,48,간장,4큰술,3060003,양념
4,49,소금,약간,3060003,양념
4,50,통후추,약간,3060003,양념
5,51,찹쌀,3컵,3060001,주재료
5,52,흑설탕,1컵,3060003,양념
5,53,계핏가루,1/2큰술,3060003,양념
5,54,밤,200g,3060002,부재료
5,55,대추,50g,3060002,부재료
5,56,잣,1큰술,3060002,부재료
5,57,올리고당,적당량,3060003,양념
5,58,식물성기름,3큰술,3060003,양념
5,59,흰설탕,1컵,3060003,양념
5,60,간장,1/3컵,3060003,양념
5,61,물,4컵,3060003,양념
6,62,호박,1/2개,3060001,주재료
6,63,팥,1컵,3060002,부재료
6,64,찹쌀,2컵,3060001,주재료
6,65,물,10컵,3060003,양념
6,66,설탕,약간,3060003,양념
6,67,소금,약간,3060003,양념
7,68,쌀,1컵,3060001,주재료
7,69,흑임자,1/2컵,3060001,주재료
7,70,물,6컵,3060003,양념
7,71,소금,약간,3060003,양념
7,72,설탕,약간,3060003,양념
8,73,쇠고기,200g,3060002,부재료
8,74,감자,2개,3060002,부재료
8,75,양파,1개,3060002,부재료
8,76,당근,1/2개,3060002,부재료
8,77,완두콩,4큰술,3060002,부재료
8,78,카레가루,70g,3060001,주재료
8,79,우유,1/2컵,3060003,양념
8,80,밥,4공기,3060001,주재료
8,81,소금,약간,3060003,양념
8,82,통후추,약간,3060003,양념
9,83,달걀,3개,3060001,주재료
9,84,양파,1/4개,3060002,부재료
9,85,물,3컵,3060003,양념
9,86,당근,1/3개,3060002,부재료
9,87,쌈장,3큰술,3060003,양념
9,88,후춧가루,약간,3060003,양념
9,89,소금,약간,3060003,양념
9,90,밥,2공기,3060001,주재료
9,91,녹색피망,1/2개,3060002,부재료
9,92,홍피망,1/2개,3060002,부재료
9,93,오이,1/3개,3060002,부재료
9,94,전분,약간,3060002,부재료
9,95,멸치,한 줌,3060003,양념
9,96,다시마,1장,3060003,양념
10,97,밀가루,4컵,3060001,주재료
10,98,감자,2개,3060001,주재료
10,99,애호박,1/2개,3060002,부재료
10,100,멸치,10마리,3060003,양념
10,101,실파,2뿌리,3060002,부재료
10,102,홍고추,1개,3060002,부재료
10,103,물,1컵,3060003,양념
10,104,양념장,적당량,3060003,양념
10,105,국간장,약간,3060003,양념
10,106,참기름,약간,3060003,양념
10,107,소금,약간,3060003,양념
11,108,냉면,400g,3060001,주재료
11,109,쇠고기,300g,3060002,부재료
11,110,동치미국물,1개,3060001,주재료
11,111,오이,1개,3060002,부재료
11,112,배,1개,3060002,부재료
11,113,달걀,2개,3060002,부재료
11,114,식초,2큰술,3060003,양념
11,115,설탕,1큰술,3060003,양념
11,116,소금,약간,3060003,양념
11,117,쇠고기육수,4컵,3060001,주재료
11,118,동치미무,1개,3060002,부재료
12,119,국수,400g,3060001,주재료
12,120,쇠고기,100g,3060001,주재료
12,121,동치미무,1/4개,3060001,주재료
12,122,달걀,1개,3060002,부재료
12,123,홍고추,1개,3060002,부재료
12,124,소금,약간,3060003,양념
12,125,깨소금,약간,3060003,양념
12,126,참기름,1/2큰술,3060003,양념
12,127,동치미국물,8컵,3060002,부재료
12,128,간장,1큰술,3060003,양념
12,129,설탕,1/4작은술,3060003,양념
12,130,통후추,약간,3060003,양념
13,131,열무,1/2단,3060001,주재료
13,132,찹쌀가루,2큰술,3060003,양념
13,133,냉면,500g,3060001,주재료
