RECIPE_ID,COOKING_NO,COOKING_DC
1,1,"양지머리로 육수를 낸 후 식혀 기름을 걷어낸 후, 불린 쌀을 넣어 고슬고슬하게 밥을 짓는다."
1,2,안심은 불고기 양념하여 30분간 재워 국물 없이 구워 한 김 식으면 한입 크기로 자른다.
1,3,청포묵은 고기와 비슷한 크기로 잘라 끓는 물에 데쳐내고 계란은 노른자와 흰자를 분리해 지단부쳐 곱게 채썬다.
1,4,"콩나물과 숙주, 미나리는 데쳐서 국간장과 참기름으로 간하고, 고사리와 도라지는 참기름을 두른 프라이팬에 살짝 볶아놓는다."
1,5,밥을 참기름으로 무쳐 그릇에 담고 준비한 재료를 고루 얹는다.
2,1,찹쌀과 멥쌀은 깨끗이 씻어 건져 놓는다.
2,2,차수수는 붉은 물이 안 나올 때까지 깨끗이 씻어 놓는다.
2,3,"콩은 불려서 일어 건져놓고, 팥은 삶아서 건져놓고 삶은 물은 받아 놓는다."
2,4,차조는 씻어서 잘 일은 후 건져놓는다.
2,5,"차조를 뺀 모든 재료를 고루 섞어 밥솥에 앉혀 놓고 팥 삶은 물에 소금(1/3작은술 정도)을 넣은 밥물을 붓는데, 밥물은 보통 짓는 밥물보다 20% 적게 붓는다."
2,6,밥이 끓기 시작하면 차조를 고루 얹어 뜸을 들인다.
3,1,당면은 따뜻한 물에 불려 적당한 길이로 자른다.
3,2,"고기와 버섯, 채소는 모두 채썬다."
3,3,"달군 팬에 기름을 두르고 고기와, 버섯, 당근, 고추, 호박을 볶다가 숨이 죽으면 부추를 넣는다."
3,4,"다진 파, 마늘, 생강을 넣고 소금과 통후추, 진간장을 넣어 간을 한 다음 당면을 넣어 볶아준다."
3,5,뜨거운 밥을 그릇에 담고 잡채를 얹어 낸다.
4,1,쌀은 미리 씻어 불려놓고 콩나물은 씻어 소금물에 살짝 데쳐 놓는다.
4,2,"쇠고기는 곱게 다져 파, 마늘, 진간장으로 양념하여 볶는다."
4,3,콩나물 삶은 물을 냄비에 붓고 쌀을 앉혀 밥을 짓다가 끓으면 삶은 콩나물과 쇠고기를 얹어 뜸들인다
4,4,뜸이 들면 고루 섞어 그릇에 담고 양념장과 함께 낸다.
5,1,흰 설탕에 물을 붓고 끓이다가 거품이 일면서 한 부분부터 타기 시작하면 불을 끈다.
5,2,"압력솥에 물기 뺀 쌀을 담고 분량의 흑설탕, 간장, 참기름, 식물성기름, 계핏가루를 넣고 ①에서 만든 카라멜소스를 부어 물이들게 고루 섞는다."
5,3,"②에 밤, 대추, 잣을 넣고 섞는다."
5,4,물 3컵을 붓고 센불로 가열하다가 끓기 시작하면 중불로 줄여 30분 지난뒤 불을 끄고 남은 열로 뜸들인다.
6,1,청동호박은 반을 갈라 씨를 빼고 껍질을 벗긴다.
